"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id";"floor";"building_name";"section_number";"section_floors_count"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52867/";"21";"4820000";"6020000";"52867";"3";"Дом 9";"7";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46565/";"18,2";"5100000";"6380000";"46565";"7";"Дом 8";"2";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/50763/";"21";"5240000";"6550000";"50763";"5";"Дом 10";"1";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48987/";"44,3";"5330000";"9510000";"48987";"8";"Дом 10";"3";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/48966/";"20,1";"5370000";"7160000";"48966";"6";"Дом 1";"5";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46956/";"21,1";"5540000";"6920000";"46956";"6";"Дом 8";"2";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52225/";"23,8";"5610000";"7010000";"52225";"13";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56914/";"21,1";"5610000";"7010000";"56914";"16";"Дом 9";"1";"17"
"";"https://tyumen.brusnika.ru/flat/?offset=8&ordering=-popular,-favorite&limit=8&active_banner=true&active_big_card=true&is_group=1&is_booked=false&bools=is_done";"";"";"";"71";"";"";"";""
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40232/";"24";"5660000";"7550000";"40232";"16";"Дом 7-1";"2";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/67064/";"30";"5750000";"6390000";"67064";"2";"Дом 2-1";"3";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46703/";"21,3";"5780000";"7220000";"46703";"10";"Дом 8";"6";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/67221/";"30";"5830000";"6480000";"67221";"4";"Дом 2-1";"7";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67157/";"30";"5830000";"6480000";"67157";"5";"Дом 2-1";"1";"8"
