"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46565/";"18,2";"4800000";"6000000";"46565"
"Зарека";"https://tyumen.brusnika.ru/flat/67064/";"30";"4800000";"5270000";"67064"
"Зарека";"https://tyumen.brusnika.ru/flat/67221/";"30";"4880000";"5360000";"67221"
"Зарека";"https://tyumen.brusnika.ru/flat/67157/";"30";"4880000";"5360000";"67157"
"Республики 205";"https://tyumen.brusnika.ru/flat/48966/";"20,1";"5060000";"6750000";"48966"
"Зарека";"https://tyumen.brusnika.ru/flat/67188/";"31,3";"5060000";"5560000";"67188"
"Зарека";"https://tyumen.brusnika.ru/flat/67070/";"31,4";"5100000";"5600000";"67070"
"Зарека";"https://tyumen.brusnika.ru/flat/67265/";"31,4";"5140000";"5650000";"67265"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46956/";"21,1";"5230000";"6540000";"46956"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52225/";"23,8";"5300000";"6630000";"52225"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56914/";"21,1";"5300000";"6630000";"56914"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40232/";"24";"5360000";"7140000";"40232"
"Зарека";"https://tyumen.brusnika.ru/flat/67275/";"35,1";"5430000";"5970000";"67275"
"Зарека";"https://tyumen.brusnika.ru/flat/67142/";"35,1";"5460000";"6000000";"67142"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46703/";"21,3";"5470000";"6840000";"46703"
"Зарека";"https://tyumen.brusnika.ru/flat/67113/";"35,1";"5530000";"6080000";"67113"
"Зарека";"https://tyumen.brusnika.ru/flat/67079/";"35,1";"5530000";"6080000";"67079"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60104/";"20,1";"5550000";"6530000";"60104"
"Дом у озера";"https://tyumen.brusnika.ru/flat/58847/";"19,9";"5580000";"6570000";"58847"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60160/";"20,1";"5620000";"6610000";"60160"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46706/";"23,7";"5700000";"7130000";"46706"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/70059/";"26,6";"5740000";"7170000";"70059"
"Зарека";"https://tyumen.brusnika.ru/flat/49642/";"21,4";"5780000";"7700000";"49642"
"Зарека";"https://tyumen.brusnika.ru/flat/52919/";"26,6";"5810000";"7260000";"52919"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46978/";"23,9";"5860000";"7320000";"46978"
"Зарека";"https://tyumen.brusnika.ru/flat/67132/";"31,9";"5920000";"6510000";"67132"
"Зарека";"https://tyumen.brusnika.ru/flat/53124/";"23,8";"5970000";"7460000";"53124"
"Зарека";"https://tyumen.brusnika.ru/flat/67052/";"39";"5980000";"6570000";"67052"
"Зарека";"https://tyumen.brusnika.ru/flat/67240/";"32,5";"6000000";"6590000";"67240"
"Зарека";"https://tyumen.brusnika.ru/flat/67285/";"39";"6010000";"6600000";"67285"
"Зарека";"https://tyumen.brusnika.ru/flat/58300/";"26,6";"6080000";"7600000";"58300"
"Зарека";"https://tyumen.brusnika.ru/flat/67295/";"39";"6080000";"6680000";"67295"
"Зарека";"https://tyumen.brusnika.ru/flat/67322/";"39";"6080000";"6680000";"67322"
"Зарека";"https://tyumen.brusnika.ru/flat/67916/";"32,7";"6080000";"7150000";"67916"
"Зарека";"https://tyumen.brusnika.ru/flat/64949/";"23,1";"6100000";"7630000";"64949"
"Зарека";"https://tyumen.brusnika.ru/flat/66881/";"26,6";"6100000";"7630000";"66881"
"Зарека";"https://tyumen.brusnika.ru/flat/70084/";"22,8";"6100000";"7630000";"70084"
"Зарека";"https://tyumen.brusnika.ru/flat/67911/";"32,7";"6130000";"7210000";"67911"
"Зарека";"https://tyumen.brusnika.ru/flat/58287/";"33,4";"6260000";"7370000";"58287"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52901/";"37,8";"6260000";"7830000";"52901"
"Зарека";"https://tyumen.brusnika.ru/flat/70096/";"32,7";"6270000";"7380000";"70096"
"Зарека";"https://tyumen.brusnika.ru/flat/70097/";"32,7";"6270000";"7380000";"70097"
"Зарека";"https://tyumen.brusnika.ru/flat/65616/";"31,5";"6360000";"7480000";"65616"
"Зарека";"https://tyumen.brusnika.ru/flat/57126/";"31,5";"6360000";"7480000";"57126"
"Зарека";"https://tyumen.brusnika.ru/flat/67303/";"32,4";"6370000";"7000000";"67303"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/67339/";"22,6";"6400000";"7530000";"67339"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62438/";"25,2";"6420000";"8020000";"62438"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48880/";"26,6";"6430000";"8040000";"48880"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67895/";"32,1";"6460000";"8080000";"67895"
"Зарека";"https://tyumen.brusnika.ru/flat/67143/";"33,9";"6470000";"7110000";"67143"
"Республики 205";"https://tyumen.brusnika.ru/flat/56402/";"36,2";"6480000";"8100000";"56402"
"Речной порт";"https://tyumen.brusnika.ru/flat/54123/";"25,5";"6500000";"8120000";"54123"
"Дом у озера";"https://tyumen.brusnika.ru/flat/66345/";"23,9";"6510000";"7660000";"66345"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/69443/";"47";"6510000";"8580000";"69443"
"Республики 205";"https://tyumen.brusnika.ru/flat/56388/";"36,2";"6540000";"8180000";"56388"
"Речной порт";"https://tyumen.brusnika.ru/flat/67927/";"25,5";"6540000";"8170000";"67927"
"Зарека";"https://tyumen.brusnika.ru/flat/67114/";"32,2";"6540000";"7190000";"67114"
"Республики 205";"https://tyumen.brusnika.ru/flat/56071/";"36,2";"6540000";"8180000";"56071"
"Зарека";"https://tyumen.brusnika.ru/flat/58297/";"31,9";"6560000";"7720000";"58297"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66885/";"25,2";"6580000";"8230000";"66885"
"Республики 205";"https://tyumen.brusnika.ru/flat/49593/";"27,2";"6580000";"8220000";"49593"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59873/";"40,1";"6580000";"8220000";"59873"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66886/";"25,2";"6600000";"8250000";"66886"
"Речной порт";"https://tyumen.brusnika.ru/flat/67923/";"25,6";"6600000";"8250000";"67923"
"Зарека";"https://tyumen.brusnika.ru/flat/67251/";"36,3";"6610000";"7260000";"67251"
"Речной порт";"https://tyumen.brusnika.ru/flat/66349/";"25,6";"6620000";"8280000";"66349"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59884/";"32,1";"6630000";"8290000";"59884"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62439/";"25,2";"6640000";"8300000";"62439"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48889/";"31,8";"6660000";"8320000";"48889"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62436/";"25,2";"6680000";"8350000";"62436"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66887/";"25,2";"6680000";"8350000";"66887"
"Республики 205";"https://tyumen.brusnika.ru/flat/56384/";"36,2";"6710000";"8390000";"56384"
"Зарека";"https://tyumen.brusnika.ru/flat/67282/";"36,8";"6720000";"7380000";"67282"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62437/";"25,2";"6720000";"8400000";"62437"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46947/";"31,9";"6750000";"8440000";"46947"
"Зарека";"https://tyumen.brusnika.ru/flat/67072/";"36,8";"6770000";"7440000";"67072"
"Зарека";"https://tyumen.brusnika.ru/flat/67279/";"36,8";"6770000";"7440000";"67279"
"Зарека";"https://tyumen.brusnika.ru/flat/67304/";"37,9";"6770000";"7440000";"67304"
"Зарека";"https://tyumen.brusnika.ru/flat/67204/";"36,8";"6810000";"7480000";"67204"
"Республики 205";"https://tyumen.brusnika.ru/flat/56421/";"36,2";"6820000";"8530000";"56421"
"Зарека";"https://tyumen.brusnika.ru/flat/57131/";"34";"6820000";"8020000";"57131"
"Зарека";"https://tyumen.brusnika.ru/flat/66331/";"34";"6840000";"8050000";"66331"
"Зарека";"https://tyumen.brusnika.ru/flat/69615/";"27,2";"6860000";"8570000";"69615"
"Зарека";"https://tyumen.brusnika.ru/flat/67912/";"33,8";"6940000";"8160000";"67912"
"Зарека";"https://tyumen.brusnika.ru/flat/66320/";"33,8";"7010000";"8250000";"66320"
"Зарека";"https://tyumen.brusnika.ru/flat/59836/";"33,8";"7060000";"8310000";"59836"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/50766/";"45,6";"7080000";"9910000";"50766"
"Зарека";"https://tyumen.brusnika.ru/flat/52938/";"35,2";"7080000";"8850000";"52938"
"Зарека";"https://tyumen.brusnika.ru/flat/52935/";"43,8";"7090000";"8860000";"52935"
"Зарека";"https://tyumen.brusnika.ru/flat/65608/";"33,8";"7110000";"8370000";"65608"
